,data_light,data_batt,data_acce_x,data_acce_y,data_acce_z,data_temp,data_baro,data_magnx,data_magny,data_magnz,data_gyrox,data_gyroy,data_gyroz
114,0.72,76,0.020019531,0.10546875,-1.037109375,19.01,1008.81,93.41196581,69.42173382,-484.4527473,5.561828613,3.005981445,-45.80688477
115,1.05,76,0.026123047,0.021484375,-1.030761719,19.01,1008.85,88.16410256,59.82564103,-485.8021978,-0.694274902,-2.342224121,19.3862915
116,0.81,76,0.147216797,0.060058594,-0.986572266,19.02,1008.9,41.08327228,57.42661783,-527.035409,5.065917969,-7.40814209,-5.447387695
117,0.89,76,0.185302734,0.077148438,-1.010253906,19.02,1008.83,41.83296703,58.17631258,-527.3352869,6.904602051,-5.157470703,-4.997253418
118,0.89,76,0.109375,0.080566406,-1.004394531,19.03,1008.86,40.63345543,58.02637363,-526.4356532,6.935119629,-4.173278809,-5.462646484
119,0.73,76,0.123779297,0.109619141,-1.015380859,19.01,1008.89,40.18363858,56.97680098,-525.8358974,5.706787109,-4.547119141,-5.096435547
120,0.81,76,0.081542969,0.046875,-1.030517578,19.02,1008.87,39.43394383,57.27667888,-526.8854701,5.096435547,-5.77545166,-6.500244141
121,0.72,76,0.224853516,0.055419922,-0.975830078,19.02,1008.91,44.08205128,56.52698413,-535.7318681,2.571105957,2.876281738,3.18145752
122,0.4,76,0.133544922,0.054931641,-0.890869141,19.01,1008.84,78.86788767,51.57899878,-487.1516484,3.799438477,-3.898620605,-15.88439941
123,0.8,76,0.106933594,0.015136719,-1.088134766,19.02,1008.91,70.32136752,60.87521368,-501.6957265,5.37109375,-12.65716553,-6.256103516
124,0.24,76,0.407470703,0.105224609,-0.770019531,19.02,1008.92,59.67570208,55.17753358,-503.3450549,9.498596191,-28.06854248,0.144958496
125,0.48,76,0.114501953,0.006103516,-1.016357422,19.01,1008.86,64.77362637,53.37826618,-494.4986569,10.15472412,2.174377441,-35.04943848
126,0.4,76,0.211669922,-0.154052734,-1.2578125,19.01,1008.94,74.66959707,80.06739927,-523.7367521,8.834838867,1.449584961,-9.437561035
127,0.56,76,0.236083984,-0.008056641,-1.030517578,19,1008.92,69.72161172,68.67203907,-500.9460317,20.2331543,-40.97747803,-49.04174805
128,0.56,76,-0.024414063,0.166748047,-0.74609375,18.99,1008.85,92.51233211,67.77240537,-491.7997558,6.217956543,-0.556945801,6.805419922
129,0.4,76,0.041503906,0.027587891,-1.021240234,18.98,1008.86,87.41440781,53.97802198,-496.4478632,11.71112061,-250,-28.42712402
130,0.8,76,0.184082031,0.110351563,-0.983886719,19.01,1008.9,95.36117216,62.07472527,-493.2991453,6.43157959,0.450134277,-13.46588135
131,1.05,76,0.072998047,-0.048583984,-1.130615234,19.01,1008.94,112.4542125,61.77484737,-425.376801,8.201599121,-31.45599365,-13.92364502
